quadrant,track_name,id,genre,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
"e>=0.5, v>0.5",Creeping (feat. Rich the Kid),7ms3VzLTfr7fXNOqA4Mkx9,Rap,0.011,0.729,179831,0.687,0.000,8,0.162,-8.060,0,0.250,160.085,0.683
"e>=0.5, v>0.5",B.I.D,6dnrppGRbt8fie18Lcd9Dd,Rap,0.103,0.767,164133,0.689,0.000,10,0.079,-5.573,0,0.085,154.957,0.555
"e>=0.5, v>0.5",Strangers,2U0pVx4m1Kdm1Gsjjm6iq8,EDM,0.013,0.577,204213,0.691,0.000,0,0.124,-7.437,0,0.039,129.984,0.507
"e>=0.5, v>0.5",Something 'Bout You,6QkObBYNxVVUYt4FSpnTqY,Country,0.189,0.692,160107,0.692,0.000,2,0.088,-6.065,1,0.082,153.255,0.750
"e>=0.5, v>0.5",New Rules,2ekn2ttSfGqwhhate0LSR0,Pop,0.003,0.762,209320,0.700,0.000,9,0.153,-6.021,0,0.069,116.073,0.608
"e>=0.5, v>0.5",Coming Home,7qLE35vc5XvUVrm8Kg9Vmx,Country,0.204,0.384,214728,0.705,0.000,4,0.069,-6.949,1,0.243,89.572,0.522
"e>=0.5, v>0.5",Ride,2Z8WuEywRWYTKe1NybPQEW,Pop,0.008,0.645,214507,0.713,0.000,6,0.113,-5.355,1,0.039,74.989,0.566
"e>=0.5, v>0.5",Chanel (feat. Swae Lee & Pharrell) - From Jxmtro,5D0YYVfsYxLmcrVAfoBPxR,Rap,0.006,0.980,264001,0.713,0.000,5,0.106,-4.980,1,0.047,125.030,0.670
"e>=0.5, v>0.5",Whole Lot in Love,5H4YGepZNnPhnOHA9vZSEP,Country,0.353,0.791,166787,0.715,0.000,7,0.115,-5.809,1,0.038,112.027,0.593
"e>=0.5, v>0.5","Let Me Go (with Alesso, Florida Georgia Line & watt)",5AEtlRudpgdT5FtNiuly6Y,Pop,0.039,0.659,174800,0.717,0.000,8,0.077,-4.202,1,0.058,103.036,0.710
"e>=0.5, v>0.5",I'd Be Jealous Too,7rdK9NSJIRBZAiXC0vuBS9,Country,0.090,0.716,185707,0.718,0.000,0,0.473,-5.355,1,0.029,100.934,0.537
"e>=0.5, v>0.5",Yours,6RSNKGdv3nDTHqgw4bdzyF,Country,0.119,0.555,216960,0.722,0.000,11,0.086,-6.005,1,0.034,134.058,0.559
"e>=0.5, v>0.5",Over My Head,3haxUceS8i97BLoB7WH3Mj,Pop,0.097,0.656,208233,0.723,0.000,11,0.343,-4.975,0,0.026,105.049,0.904
"e>=0.5, v>0.5",Into The Sunset,02E0dSRldGrrrJyTY7O4uA,EDM,0.476,0.435,207581,0.726,0.000,10,0.266,-6.153,1,0.137,123.938,0.609
"e>=0.5, v>0.5",Most People Are Good,79LAFAkR1ATb4iIQvZuCL0,Country,0.174,0.582,221801,0.728,0.000,8,0.139,-6.151,1,0.029,150.013,0.537
"e>=0.5, v>0.5",Nowhere Fast (feat. Kehlani),6Ww0J5EFjiPxkgZpEkRQVN,Pop,0.261,0.708,264173,0.729,0.000,11,0.069,-4.621,1,0.188,79.024,0.644
"e>=0.5, v>0.5",Side To Side,4pLwZjInHj3SimIyN9SnOz,Pop,0.041,0.648,226160,0.738,0.000,6,0.292,-5.883,0,0.247,159.145,0.603
"e>=0.5, v>0.5",Unforgettable,30MM5jWpUmOxtTNd9Ey5LZ,Country,0.032,0.663,157080,0.738,0.000,7,0.086,-5.480,1,0.030,130.020,0.825
"e>=0.5, v>0.5",Sit Next to Me - Radio Edit,3E5NUvTLszM8uymKQ227MP,Pop,0.087,0.678,202600,0.747,0.000,6,0.147,-5.416,0,0.029,97.004,0.815
"e>=0.5, v>0.5",Slower,7M1PQZeyqslVtY5ZiYBGLo,Country,0.107,0.687,172534,0.750,0.000,11,0.161,-4.537,1,0.097,98.987,0.911
"e>=0.5, v>0.5",Bad At Love,2TBQoW7s6iwKcg139ssqie,Pop,0.057,0.664,181279,0.753,0.000,0,0.088,-3.589,1,0.032,118.253,0.540
"e>=0.5, v>0.5",Everybody Hates Me,3pIigjAWkzwAonXpJ1fmSF,Pop,0.008,0.471,224027,0.755,0.000,11,0.368,-6.612,0,0.046,154.801,0.512
"e>=0.5, v>0.5",Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Pop,0.406,0.720,251088,0.763,0.000,9,0.180,-4.068,0,0.052,101.965,0.742
"e>=0.5, v>0.5",Unforgettable,1F2HXIJrE2Xn81OzT2zZvW,Pop,0.029,0.726,233833,0.769,0.010,6,0.104,-5.043,1,0.123,97.985,0.733
"e>=0.5, v>0.5",SummerThing!,1KcnJTiXJXAqW5bB7zpkBC,EDM,0.057,0.707,235344,0.770,0.000,0,0.294,-5.450,1,0.075,130.053,0.762
"e>=0.5, v>0.5",Babe,5FNeJveCmVB2TPDbIYqK0M,Country,0.019,0.535,215107,0.777,0.000,4,0.136,-3.292,1,0.207,171.720,0.664
"e>=0.5, v>0.5",Slingshot,5J3LR9JWrZIUTG7UGZkIKg,Rap,0.056,0.928,89973,0.778,0.000,7,0.129,-6.962,0,0.252,122.998,0.668
"e>=0.5, v>0.5",Take Back Home Girl (feat. Tori Kelly),2gVBXeTjwL0ZEh9gjsQjk0,Country,0.368,0.494,211427,0.780,0.000,11,0.092,-3.825,1,0.064,159.708,0.664
"e>=0.5, v>0.5",Rover 2.0,7sB2rmolvEt77KFPCraSNc,Rap,0.189,0.914,275872,0.781,0.000,9,0.126,-5.467,0,0.302,140.090,0.806
"e>=0.5, v>0.5",One Number Away,4gB7HrYHbJVJ5RFOjxmoq4,Country,0.006,0.544,221800,0.781,0.000,6,0.191,-6.160,0,0.031,144.075,0.527
"e>=0.5, v>0.5",Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,Pop,0.047,0.643,163870,0.783,0.000,10,0.083,-6.458,1,0.086,154.084,0.579
"e>=0.5, v>0.5",Shoot Me Straight - Radio Edit,0ya80Qhw7hgeJp2L6zvxcj,Country,0.008,0.636,207053,0.784,0.000,2,0.081,-6.010,1,0.045,96.996,0.613
"e>=0.5, v>0.5","Boom (feat. MOTi, TY Dolla $ign, Wizkid, & Kranium)",56pOVpGoStk1PQpLGIyKmP,EDM,0.003,0.704,186448,0.784,0.000,7,0.419,-4.463,0,0.142,100.083,0.656
"e>=0.5, v>0.5",Trust Fund Baby,54j7EaJPDmSZYcNYvLSJ78,Pop,0.063,0.624,184460,0.785,0.000,8,0.135,-3.337,1,0.050,163.929,0.593
"e>=0.5, v>0.5",Believer,0CcQNd8CINkwQfe1RDtGV6,Pop,0.052,0.779,204347,0.787,0.000,10,0.140,-4.305,0,0.108,124.982,0.708
"e>=0.5, v>0.5",All I Wanna Do,0BiGd2FNDQ0eh79ZHfp6tS,EDM,0.148,0.728,194360,0.794,0.000,1,0.069,-3.992,1,0.064,112.071,0.523
"e>=0.5, v>0.5",Powerful (feat. Ellie Goulding & Tarrus Riley),37jalmkAdkohJQj98FGU7r,EDM,0.133,0.402,206920,0.794,0.000,11,0.133,-3.982,0,0.125,195.058,0.702
"e>=0.5, v>0.5",Feel It Still,7FESgYLcOufHqKlwrvJN60,Pop,0.041,0.780,163251,0.798,0.000,1,0.073,-5.151,0,0.061,78.969,0.771
"e>=0.5, v>0.5",There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Pop,0.381,0.857,199440,0.800,0.000,2,0.091,-4.035,1,0.058,121.996,0.966
"e>=0.5, v>0.5",Cheap Thrills,6b3b7lILUJqXcp6w9wNQSm,Pop,0.056,0.592,224813,0.800,0.000,6,0.078,-4.931,0,0.215,89.972,0.728
"e>=0.5, v>0.5",When It Rains It Pours,1mMLMZYXkMueg65jRRWG1l,Country,0.013,0.551,240760,0.801,0.000,6,0.265,-5.069,1,0.030,128.027,0.625
"e>=0.5, v>0.5",24K Magic,2gFvRmQiWg9fN9i74Q0aiw,Pop,0.034,0.818,225983,0.803,0.000,1,0.153,-4.282,1,0.080,106.970,0.632
"e>=0.5, v>0.5",Mine,6tHWl8ows5JOZq9Yfaqn3M,Pop,0.014,0.716,133995,0.805,0.000,4,0.291,-3.839,1,0.086,142.886,0.719
"e>=0.5, v>0.5",Happens Like That,5Zx1zVpDJsNgyY3HvNfsfC,Country,0.189,0.557,171493,0.807,0.000,7,0.234,-5.428,1,0.083,81.045,0.578
"e>=0.5, v>0.5","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,Pop,0.194,0.653,210773,0.809,0.000,0,0.165,-4.057,1,0.047,92.213,0.550
"e>=0.5, v>0.5",Who Run It (Remix) [Feat. Lil Uzi Vert],36fmvm49vZC9VM5X2DQJVe,Rap,0.041,0.669,263343,0.809,0.000,6,0.378,-5.718,0,0.296,159.364,0.605
"e>=0.5, v>0.5",PROUD,365wwIjijQdlRJEjUWTidq,Rap,0.738,0.781,234667,0.810,0.000,10,0.144,-4.301,0,0.356,173.949,0.908
"e>=0.5, v>0.5",I Feel It Coming,0VeYT2aD9t65JgofFZGpKl,Pop,0.413,0.768,269187,0.814,0.000,0,0.084,-5.910,0,0.151,92.979,0.541
"e>=0.5, v>0.5",Bickenhead,17Yq72h0p15OhCbZ5lJ5gd,Rap,0.154,0.884,181624,0.814,0.000,7,0.158,-5.333,1,0.303,155.938,0.907
"e>=0.5, v>0.5",Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Pop,0.229,0.694,228827,0.815,0.000,2,0.092,-4.328,1,0.120,88.931,0.813
"e>=0.5, v>0.5",Famous,2HGymMoOdB4ZYv0AAqYmgF,Country,0.708,0.534,192520,0.815,0.000,5,0.111,-2.815,1,0.028,159.848,0.564
"e>=0.5, v>0.5",Stir Fry,2tek8UnoiJdkmpPMqa5KRQ,Pop,0.003,0.814,190288,0.819,0.000,2,0.133,-5.480,1,0.251,181.958,0.517
"e>=0.5, v>0.5",All Night,2Bb3mu3lfUrcRoTi3IcvQc,Pop,0.057,0.849,241898,0.823,0.000,4,0.086,-4.563,1,0.044,135.929,0.846
"e>=0.5, v>0.5",I Wanna Know,2kYqdSlrtovVMMIn6ykzba,EDM,0.076,0.651,240413,0.823,0.000,2,0.094,-3.632,1,0.033,115.946,0.505
"e>=0.5, v>0.5",Treat You Better,53B2XmmjJ9rriW1qciMBeX,Pop,0.121,0.450,187973,0.825,0.000,10,0.109,-4.066,0,0.372,82.823,0.742
"e>=0.5, v>0.5",Powerglide (feat. Juicy J) - From SR3MM,2yUbCEiaolfSMluDo9RMmG,Rap,0.015,0.712,332301,0.829,0.000,1,0.122,-4.707,0,0.141,173.953,0.593
"e>=0.5, v>0.5","CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",6JV2JOEocMgcZxYSZelKcc,Pop,0.012,0.667,236002,0.830,0.000,0,0.191,-5.715,1,0.075,113.030,0.701
"e>=0.5, v>0.5",Hangin' On,6CyJlVAEFlNdpggOLanytL,Country,0.065,0.434,185440,0.831,0.000,8,0.119,-4.774,1,0.045,156.034,0.596
"e>=0.5, v>0.5",Sweet Escape,6vPJvkEuWZPcv58NnQ3dBR,EDM,0.072,0.572,232533,0.839,0.000,2,0.197,-3.865,1,0.040,126.029,0.516
"e>=0.5, v>0.5",Life Changes,4Vxu50qVrQcycjRyJQaZLC,Country,0.105,0.687,190227,0.842,0.000,7,0.044,-4.382,1,0.058,87.968,0.778
"e>=0.5, v>0.5",Insomnia,2f4aFQQtbJ5EciN4pCC63S,EDM,0.131,0.621,214230,0.843,0.000,6,0.143,-1.550,1,0.093,127.991,0.528
"e>=0.5, v>0.5",Know Me,1aS1uzcAC14lduwuNJZjqE,EDM,0.006,0.664,206197,0.844,0.003,5,0.542,-5.012,0,0.041,142.056,0.557
"e>0.5, v<=0.5",Plug Walk,0gD6lWJhbXHWNVwQziSVvl,Rap,0.224,0.882,175511,0.503,0.000,11,0.108,-6.618,1,0.179,95.011,0.176
"e>0.5, v<=0.5",I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Pop,0.535,0.752,197437,0.505,0.000,9,0.104,-7.621,1,0.253,91.970,0.419
"e>0.5, v<=0.5",Good Old Days (feat. Kesha),3vGmmVqWM33agHxB19EcAi,Pop,0.446,0.712,240507,0.510,0.000,8,0.112,-8.162,1,0.063,122.964,0.268
"e>0.5, v<=0.5",Coming Home,4uEWUbAmN8CY8GwGEfVFTv,Acoustic,0.323,0.537,167868,0.514,0.000,11,0.087,-6.247,0,0.052,136.545,0.462
"e>0.5, v<=0.5",Havana,0ofbQMrRDsUaVKq2mGLEAb,Pop,0.186,0.768,216897,0.517,0.000,7,0.104,-4.323,0,0.031,104.992,0.418
"e>0.5, v<=0.5",I Will Wait (Instrumental),6ku8wWIPgkVW21HSQk6tjH,Acoustic,0.973,0.438,275628,0.520,0.880,1,0.115,-9.908,1,0.041,133.038,0.192
"e>0.5, v<=0.5",rockstar (feat. 21 Savage),7wGoVu4Dady5GV0Sv4UIsx,Pop,0.130,0.577,218320,0.522,0.000,5,0.142,-6.594,0,0.098,159.772,0.119
"e>0.5, v<=0.5",Not A Love Song,0olvO9l53TxK1j0v4wrC5y,Pop,0.140,0.737,192293,0.523,0.000,7,0.127,-10.250,1,0.070,91.993,0.305
"e>0.5, v<=0.5",Bad Company,3ZYwSDF9knZI0RVlKR4PHC,Rap,0.068,0.901,183809,0.529,0.000,8,0.536,-7.940,1,0.413,144.941,0.343
"e>0.5, v<=0.5",Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,Pop,0.199,0.798,202547,0.539,0.000,1,0.165,-6.351,1,0.042,136.949,0.394
"e>0.5, v<=0.5",Solitaire (feat. Migos & Lil Yachty),3DxZfFYJLwKDJtUwnLEhkL,Rap,0.027,0.811,139130,0.540,0.000,11,0.106,-7.977,0,0.329,138.016,0.436
"e>0.5, v<=0.5",Psycho (feat. Ty Dolla $ign),7wrDRQgHlvDnimrRHfQZxt,Pop,0.590,0.748,220880,0.546,0.000,8,0.112,-8.134,1,0.106,140.005,0.413
"e>0.5, v<=0.5",Habits (Stay High) [Instrumental Version],16MH7WjEbCNGzH9PrIMgfi,Acoustic,0.911,0.738,209925,0.547,0.890,5,0.112,-8.592,1,0.047,110.015,0.220
"e>0.5, v<=0.5","Do You Mind (feat. Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross)",4VJ7mnW4wjjIgPBM6KWvPu,EDM,0.017,0.412,325615,0.548,0.000,10,0.181,-6.981,1,0.243,81.293,0.176
"e>0.5, v<=0.5",Aries (YuGo) Part 2 (with Rae Sremmurd & Big Sean feat. Quavo & Pharrell),5NkfVQS8BkceRgoSQwcW6H,Rap,0.128,0.871,273087,0.552,0.000,4,0.272,-4.953,0,0.051,141.973,0.270
"e>0.5, v<=0.5",Pineapple (feat. Gucci Mane & Quavo),0TFVOjSvPTjFHkiZZekK5k,Rap,0.030,0.964,218261,0.555,0.001,5,0.128,-6.245,0,0.050,130.017,0.338
"e>0.5, v<=0.5",Spirals (feat. King Deco),6XtSFFAy65MocQiaHMj2bp,EDM,0.019,0.229,361500,0.557,0.000,1,0.185,-5.507,1,0.036,135.029,0.056
"e>0.5, v<=0.5",Psycho (feat. Ty Dolla $ign),65NwOZqoXny4JxqAPlfxRF,Rap,0.566,0.740,220880,0.558,0.000,8,0.112,-8.115,1,0.102,140.057,0.421
"e>0.5, v<=0.5",Say You Won't Let Go,1Pw5C4N6Fn5E4mGCxmbbVa,Pop,0.693,0.400,211240,0.564,0.000,10,0.086,-7.444,1,0.052,99.269,0.483
"e>0.5, v<=0.5",Rather Be - Acoustic Guitar Version,5m9DeYXRRC7w6sWJdZ6qz7,Acoustic,0.812,0.790,230000,0.569,0.899,8,0.098,-6.117,0,0.055,122.040,0.435
"e>0.5, v<=0.5",OKRA,74ZovzRxHBvCq5yIwe8boh,Rap,0.046,0.589,151027,0.570,0.000,1,0.137,-9.540,1,0.361,136.203,0.441
"e>0.5, v<=0.5",I Lived It,5slddJ629YcePvqD6Uyk8r,Country,0.476,0.557,219600,0.571,0.001,10,0.101,-8.106,1,0.028,80.981,0.392
"e>0.5, v<=0.5",1-800-273-8255,5aFQU3VPCQ3YGfKBA4tLfj,Pop,0.568,0.627,250173,0.572,0.000,5,0.198,-7.738,0,0.037,100.041,0.361
"e>0.5, v<=0.5",You Make It Easy,2ZxTjs4EdJl4Y9YByIiNoo,Country,0.143,0.375,196800,0.574,0.000,7,0.110,-5.305,1,0.032,132.025,0.406
"e>0.5, v<=0.5",Weight in Gold - Ekali Remix,4mRpWePw7B8ePqfP7aMD7S,EDM,0.307,0.458,199714,0.579,0.000,2,0.159,-4.513,0,0.218,131.917,0.195
"e>0.5, v<=0.5",End Of Discussion (feat. Lil Wayne),0qFX9pVJQB4lBMxRoFXqGr,Rap,0.176,0.784,236944,0.580,0.000,0,0.098,-6.656,1,0.167,76.484,0.338
"e>0.5, v<=0.5",Leave Right Now,0wyja8xD9cNhDtfuY0dVMP,Country,0.007,0.474,195667,0.583,0.000,4,0.128,-7.093,1,0.047,148.051,0.366
"e>0.5, v<=0.5",Now Or Never,1mDGDb2fUmUMdqV3tb8VKQ,Pop,0.107,0.670,214802,0.585,0.000,6,0.131,-4.861,0,0.035,110.030,0.447
"e>0.5, v<=0.5",All We Know,2rizacJSyD9S1IQUxUxnsK,EDM,0.097,0.662,194080,0.586,0.003,0,0.115,-8.821,1,0.031,90.000,0.296
"e>0.5, v<=0.5",Overload - The Chainsmokers Remix,18KDpXD6e2UGRA5ORND1CU,EDM,0.004,0.720,197016,0.587,0.000,8,0.109,-6.458,1,0.032,130.018,0.313
"e>0.5, v<=0.5",Top Off,1W6wxOOYyJyyok8fqYSZ3m,Rap,0.011,0.573,230713,0.591,0.000,11,0.455,-6.715,0,0.331,86.721,0.232
"e>0.5, v<=0.5",Tell Me You Love Me,5Htb1uFQ1KrkFXlefS8oGj,Pop,0.025,0.516,236987,0.592,0.000,3,0.181,-5.465,0,0.057,82.050,0.271
"e>0.5, v<=0.5","Hey, Soul Sister",0oqAf7pxrRFIj9hlebCRAQ,Acoustic,0.761,0.654,216921,0.593,0.883,4,0.084,-6.529,1,0.048,97.006,0.483
"e>0.5, v<=0.5",Starboy,7lQqaqZu0vjxzpdATOIsDt,Pop,0.159,0.680,230467,0.594,0.000,7,0.134,-7.021,1,0.280,186.040,0.475
"e>0.5, v<=0.5",Game of Thrones Medley,0LLK7yaku9bb3QAuf3py93,Acoustic,0.934,0.119,304227,0.594,0.910,5,0.105,-9.736,0,0.057,84.566,0.147
"e>0.5, v<=0.5",I Can't Stop,5WSL7UTa38jMWoBzObD4BD,EDM,0.001,0.524,305786,0.601,0.601,0,0.398,-13.399,0,0.034,139.972,0.314
"e>0.5, v<=0.5",The Wave (feat. Madcon),2aE5Nih0DGEVWhA9BVsiua,EDM,0.017,0.684,178000,0.602,0.000,10,0.113,-7.685,1,0.119,99.946,0.209
"e>0.5, v<=0.5",Wait,1Qg9jWGDkKAGZXj5v2OG59,Pop,0.089,0.659,190643,0.604,0.000,8,0.105,-5.084,1,0.054,126.135,0.407
"e>0.5, v<=0.5",What Lovers Do (feat. SZA),4mxWSdf71VFO52qFeY0fZt,Pop,0.077,0.795,199849,0.608,0.000,5,0.085,-5.222,0,0.069,110.001,0.386
"e>0.5, v<=0.5",123,2xCzUIQwX5Y3wEFJnHoc3J,Rap,0.196,0.880,170000,0.610,0.000,9,0.105,-5.257,1,0.402,135.993,0.383
"e>0.5, v<=0.5",SAD!,35ieKju5aLWFN5UgfJ27mL,Rap,0.258,0.740,166568,0.613,0.004,8,0.123,-4.880,1,0.145,75.023,0.473
